neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Seacliff,Entire home/apt,400,2,3,6/25/16,0.88,1,152
Seacliff,Private room,99,3,23,6/16/16,1.85,2,187
Seacliff,Entire home/apt,155,1,45,6/19/16,5.87,1,167
Seacliff,Entire home/apt,895,3,0,,,1,0
Seacliff,Entire home/apt,195,2,4,6/22/16,2.45,2,23
Seacliff,Entire home/apt,395,3,6,4/4/16,0.55,1,5
Seacliff,Entire home/apt,150,2,236,6/24/16,6.81,1,259
Seacliff,Private room,79,1,0,,,1,0
Seacliff,Private room,195,1,0,,,2,0
Seacliff,Entire home/apt,192,3,80,7/2/16,3.55,2,128
Seacliff,Private room,300,1,0,,,1,365
Seacliff,Entire home/apt,325,18,5,3/24/16,0.09,25,365
Seacliff,Private room,85,3,36,6/16/16,1.22,2,4
Seacliff,Entire home/apt,135,1,176,6/6/16,5.95,1,257
Seacliff,Entire home/apt,175,30,4,6/15/16,1.1,1,323
Seacliff,Entire home/apt,150,1,0,,,1,2
Seacliff,Private room,105,2,24,6/27/16,3.12,1,34
Haight Ashbury,Private room,120,1,1,3/3/16,0.25,2,0
Haight Ashbury,Private room,180,1,0,,,1,0
Haight Ashbury,Private room,120,1,1,6/27/16,1,1,4
Haight Ashbury,Private room,116,2,58,6/27/16,1.98,1,349
Haight Ashbury,Private room,225,2,2,10/14/15,0.21,1,0
Haight Ashbury,Entire home/apt,258,3,1,3/26/15,0.06,1,217
Haight Ashbury,Private room,150,1,16,6/21/16,9.41,1,28
Haight Ashbury,Private room,80,30,8,6/1/16,0.73,1,317
Haight Ashbury,Entire home/apt,250,2,72,6/19/16,2.83,1,297
Haight Ashbury,Private room,79,1,3,6/8/16,1.61,4,335
Haight Ashbury,Private room,100,1,13,6/26/16,2.64,1,342
Haight Ashbury,Entire home/apt,325,4,55,5/14/16,1.61,1,287
Haight Ashbury,Private room,195,3,89,6/17/16,1.78,5,362
Haight Ashbury,Entire home/apt,590,7,0,,,1,0
Haight Ashbury,Private room,149,1,6,6/19/16,0.65,2,314
Haight Ashbury,Private room,120,1,146,5/20/16,5.08,3,44
Haight Ashbury,Private room,60,1,25,5/8/16,0.7,3,71
Haight Ashbury,Private room,110,2,7,6/27/16,0.2,1,52
Haight Ashbury,Entire home/apt,200,1,5,6/21/16,4.29,1,4
Haight Ashbury,Private room,95,10,0,,,1,0
Haight Ashbury,Entire home/apt,129,2,199,6/21/16,3.35,1,104
Haight Ashbury,Entire home/apt,165,1,69,6/16/16,1.8,1,283
Haight Ashbury,Private room,79,1,1,6/4/16,1,5,362
Haight Ashbury,Entire home/apt,250,3,120,6/22/16,3.04,1,336
Haight Ashbury,Private room,135,2,135,6/16/16,3.18,1,307
Haight Ashbury,Entire home/apt,140,4,0,,,2,0
Haight Ashbury,Private room,85,1,1,3/31/15,0.07,2,0
Haight Ashbury,Entire home/apt,108,10,4,3/9/14,0.12,1,182
Haight Ashbury,Entire home/apt,295,2,95,6/28/16,2.25,2,292
Haight Ashbury,Entire home/apt,300,2,0,,,1,0
Haight Ashbury,Entire home/apt,434,3,0,,,1,309
Haight Ashbury,Private room,150,1,2,6/30/15,0.16,7,364
Haight Ashbury,Private room,89,1,1,6/19/16,1,4,73
Haight Ashbury,Entire home/apt,260,3,13,6/5/16,0.43,1,0
Haight Ashbury,Entire home/apt,325,2,21,6/21/16,2.81,2,73
Haight Ashbury,Private room,60,1,0,,,1,0
Haight Ashbury,Private room,124,2,1,9/18/15,0.1,1,0
Haight Ashbury,Entire home/apt,300,3,56,6/17/16,0.97,1,289
Haight Ashbury,Entire home/apt,210,3,11,6/26/16,1.93,1,260
Haight Ashbury,Private room,89,7,5,10/18/15,0.13,7,365
Haight Ashbury,Private room,110,1,66,5/29/16,4.66,2,58
Haight Ashbury,Entire home/apt,7000,1,0,,,1,0
Haight Ashbury,Private room,120,1,40,6/11/16,2.32,2,113
Haight Ashbury,Private room,90,3,0,,,1,0
Haight Ashbury,Entire home/apt,143,1,11,6/20/16,2.06,1,3
Haight Ashbury,Private room,325,3,1,6/30/14,0.04,1,0
Haight Ashbury,Private room,110,1,2,12/6/15,0.28,1,0
Haight Ashbury,Private room,165,3,108,6/17/16,2.15,5,353
Haight Ashbury,Entire home/apt,400,2,4,5/16/16,0.83,2,10
Haight Ashbury,Private room,150,2,69,6/28/16,2.79,1,332
Haight Ashbury,Entire home/apt,425,3,52,6/15/16,1.79,1,138
Haight Ashbury,Entire home/apt,243,2,32,6/8/16,3.34,2,266
Haight Ashbury,Entire home/apt,150,2,7,5/22/16,1.58,1,200
Haight Ashbury,Entire home/apt,245,3,65,6/11/16,1.9,2,96
Haight Ashbury,Entire home/apt,320,2,2,8/12/14,0.09,1,224
Haight Ashbury,Entire home/apt,2000,3,0,,,1,0
Haight Ashbury,Private room,215,3,56,5/31/16,1.15,5,365
Haight Ashbury,Private room,79,1,3,4/19/16,0.93,4,361
Haight Ashbury,Private room,99,1,0,,,7,364
Haight Ashbury,Private room,245,3,76,6/12/16,1.54,5,362
Haight Ashbury,Private room,99,1,1,3/21/15,0.06,7,364
Haight Ashbury,Private room,120,2,11,9/18/15,0.39,1,365
Haight Ashbury,Entire home/apt,305,2,0,,,2,43
Haight Ashbury,Entire home/apt,195,3,81,6/27/16,3.93,2,267
